Object Number,Object ID,Object Name,Title,Culture,Period,Object Date,Object Begin Date,Object End Date,location,Link Resource
74.57.24,244805,Statue of a votary,Limestone statuette of a boy with a flat headdress,Cypriot,Archaic or Classical,6th century B.C.,-600,-401,Cyprus,http://www.metmuseum.org/art/collection/search/244805
79.7.36,321556,Cuneiform tablet,"Cuneiform tablet: account of silver disbursements, Egibi archive",Babylonian or Achaemenid,Neo-Babylonian or Achaemenid,ca. 6th century B.C.,-600,-500,Mesopotamia,http://www.metmuseum.org/art/collection/search/321556
22.139.26,251204,Squat lekythos,Terracotta squat lekythos (oil jar),"Greek, Attic",Late Classical,mid-4th century B.C.,-375,-325,Greece,http://www.metmuseum.org/art/collection/search/251204
60.55.75,255070,Intaglio,Amethyst ring stone,Greek or Roman,Late Hellenistic or Early Imperial,1st century B.C.--1st century A.D.,-99,99,Greece,http://www.metmuseum.org/art/collection/search/255070
97.22.16,246692,Mirror with Aphrodite and Helen,Bronze mirror,Etruscan,Late Classical,early 4th century B.C.,-399,-375,Italy,http://www.metmuseum.org/art/collection/search/246692
1999.325.99,327695,Stamp seal ,Scaraboid seal,Babylonian,Neo-Babylonian,ca. 7th--6th century B.C.,-700,-500,Mesopotamia,http://www.metmuseum.org/art/collection/search/327695
55.11.8,254822,Statuette of a deer (doe),Terracotta statuette of a deer,"Greek, Boeotian",Late Archaic,1st quarter of the 5th century B.C.,-499,-475,Greece,http://www.metmuseum.org/art/collection/search/254822
26.199.82,252652,"Tile, egg and dart",Fragment of a terracotta architectural tile,Lydian,Archaic,6th century B.C.,-599,-500,Turkey,http://www.metmuseum.org/art/collection/search/252652
07.232.95,247721,Vase fragment,Terracotta vessel fragment with floral motif,Minoan,Late Minoan I,ca. 1600--1450 B.C.,-1600,-1450,Crete,http://www.metmuseum.org/art/collection/search/247721
74.51.386,239971,Lagynos,Terracotta lagynos (pitcher),Cypriot,Hellenistic,late 2nd--early 1st century B.C.,-150,-50,Cyprus,http://www.metmuseum.org/art/collection/search/239971
86.11.423,322038,Cuneiform tablet,"Cuneiform tablet: fragment, Ebabbar archive",Babylonian,Neo-Babylonian,ca. 633 B.C.,-633,-633,Mesopotamia,http://www.metmuseum.org/art/collection/search/322038
1976.244.1a--d,255570,Kylix or stamnos fragments,Kylix or stamnos fragments,"Greek, Attic",Late Archaic,ca. 490 B.C.,-490,-490,Greece,http://www.metmuseum.org/art/collection/search/255570
74.51.369,239954,Cup in the form of a monkey face,Terracotta kantharos (drinking cup with high vertical handles),East Greek or Cypriot,Archaic,mid-6th century B.C.,-575,-525,Turkey,http://www.metmuseum.org/art/collection/search/239954
74.51.5720,244596,Perfume bottle,Glass perfume bottle,Roman,Mid Imperial,2nd--3rd century A.D.,100,299,Italy,http://www.metmuseum.org/art/collection/search/244596
41.162.3,254170,Alabastron in the form of a woman holding a dove,Terracotta alabastron in the form of a woman,East Greek,Archaic,6th century B.C.,-550,-500,Turkey,http://www.metmuseum.org/art/collection/search/254170
08.3b,248015,Hook from a belt,Bronze hook from a belt,"Italic, Samnite",Late Classical,late 5th--early 4th century B.C.,-425,-350,Italy,http://www.metmuseum.org/art/collection/search/248015
X.314.2,256794,Denarius,Silver denarius,Roman,Late Republican,ca. 87 B.C.,-90,-80,Italy,http://www.metmuseum.org/art/collection/search/256794
17.194.849,250075,Bowl,Terracotta bowl,Roman,Early Imperial,mid-1st century A.D.,40,70,Italy,http://www.metmuseum.org/art/collection/search/250075
74.51.1001,240588,Amphora,Amphora,Cypriot,Cypro-Archaic I,7th century B.C.,-699,-600,Cyprus,http://www.metmuseum.org/art/collection/search/240588
26.199.122,252690,Vase fragment,Vase fragment,"East Greek/Sardis, Lydian",Geometric,ca. 700--650 B.C.,-700,-650,Turkey,http://www.metmuseum.org/art/collection/search/252690
86.11.216,321794,Cuneiform tablet,"Cuneiform tablet: allocation account, Ebabbar archive",Babylonian,Neo-Babylonian,ca. 626--539 B.C.,-626,-539,Mesopotamia,http://www.metmuseum.org/art/collection/search/321794
74.51.4132,243545,"Ring, three joined",Multiple gold ring,Cypriot,Geometric,ca. 1050--850 B.C.,-1050,-850,Cyprus,http://www.metmuseum.org/art/collection/search/243545
96.18.113,246618,Vase,Vase,Etruscan,Early Archaic,end of 7th--early 6th century B.C.,-620,-580,Italy,http://www.metmuseum.org/art/collection/search/246618
86.11.305,321929,Cuneiform tablet,"Cuneiform tablet: account of work obligations and halilu-tool allocations, Ebabbar archive",Babylonian,Neo-Babylonian,ca. 626--539 B.C.,-626,-539,Mesopotamia,http://www.metmuseum.org/art/collection/search/321929
86.11.344,321968,Cuneiform tablet,Cuneiform tablet: promissory note for dates,Babylonian,Neo-Babylonian,ca. 626--539 B.C.,-626,-539,Mesopotamia,http://www.metmuseum.org/art/collection/search/321968
59.48.14,255034,Statuette of a woman,Terracotta statuette of a woman,"Greek, Corinthian",Classical,early 5th century B.C.,-499,-480,Greece,http://www.metmuseum.org/art/collection/search/255034
54.12.3a--c,254807,"Calyx-krater, fragments","Calyx-krater, fragments","Greek, Attic",Classical,ca. 430--420 B.C.,-450,-400,Greece,http://www.metmuseum.org/art/collection/search/254807
2011.603.4a--d,259148,Four fragments of a kylix:Komast cup,Four fragments of a terracotta kylix:Komast cup (drinking cup),"Greek, Attic",Archaic,ca. 570 B.C.,-575,-550,Greece,http://www.metmuseum.org/art/collection/search/259148
57.11.7,254934,Relief fragment with secutor and retiarius in arena,Marble relief fragment with gladiators,Roman,Imperial,1st--3rd century A.D.,1,299,Italy,http://www.metmuseum.org/art/collection/search/254934
26.31.13,251965,Hemispheroid seal,Hemispheroid seal,Minoan,Early Minoan III--Middle Minoan IA,ca. 2100--1900 B.C.,-2100,-1900,Crete,http://www.metmuseum.org/art/collection/search/251965
30.119.88,253293,Vase fragment,Terracotta rim of a vase,Helladic,Middle Helladic,ca. 2000--1600 B.C.,-2000,-1600,Greece,http://www.metmuseum.org/art/collection/search/253293
41.162.272,254440,Wall painting fragment,Wall painting fragment,Roman,Early Imperial,1st century A.D.,1,99,Italy,http://www.metmuseum.org/art/collection/search/254440
21.88.32,251058,"Bottle, spindle-shaped vase","Bottle, spindle-shaped vase","Greek, South Italian, Apulian",Late Classical,4th century B.C.,-399,-300,Italy,http://www.metmuseum.org/art/collection/search/251058
86.11.518,322074,Cuneiform tablet,"Cuneiform tablet: fragment, Ebabbar archive",Babylonian or Achaemenid,Neo-Babylonian or Achaemenid,ca. 7th--4th century B.C.,-700,-300,Mesopotamia,http://www.metmuseum.org/art/collection/search/322074
74.51.1616,241172,"Statuette of a votary, female",Standing female figurine holding an amphora on her head,Cypriot,Cypro-Archaic I,ca. 750--600 B.C.,-750,-600,Cyprus,http://www.metmuseum.org/art/collection/search/241172
56.171.22,254880,Neck-amphora,Terracotta neck-amphora (jar),"Greek, Attic",Archaic,ca. 510--500 B.C.,-510,-500,Greece,http://www.metmuseum.org/art/collection/search/254880
86.11.120,321713,Cuneiform tablet,"Cuneiform tablet: account of barley disbursements to prebendary bakers, Ebabbar archive",Babylonian,Neo-Babylonian,ca. 620 B.C.,-620,-620,Mesopotamia,http://www.metmuseum.org/art/collection/search/321713
15.43.145,248923,Jug,Glass jug (olpe),Roman,Early to Mid Imperial,1st--2nd century A.D.,1,199,Italy,http://www.metmuseum.org/art/collection/search/248923
86.11.212,321790,Cuneiform tablet,"Cuneiform tablet: account of barley deliveries, Ebabbar archive",Babylonian,Neo-Babylonian,ca. 617 B.C.,-617,-617,Mesopotamia,http://www.metmuseum.org/art/collection/search/321790
86.11.536,322090,Cuneiform tablet,Cuneiform tablet: fragment of a contract,Babylonian or Achaemenid,Neo-Babylonian or Achaemenid,ca. 7th--4th century B.C.,-700,-300,Mesopotamia,http://www.metmuseum.org/art/collection/search/322090
26.31.122,252074,"Prism, triangular",Chalcedony Triangular Prism,Minoan,Middle Minoan II--III,ca. 1800--1600 B.C.,-1800,-1600,Crete,http://www.metmuseum.org/art/collection/search/252074
1972.118.77,255390,Statuette of a woman,Bronze statuette of a woman holding a bird,Greek,Classical,2nd quarter of the 5th century B.C.,-475,-450,Greece,http://www.metmuseum.org/art/collection/search/255390
1991.192,256049,Cup,Cup,"Greek, Attic",Archaic,ca. 490 B.C.,-490,-490,Greece,http://www.metmuseum.org/art/collection/search/256049
74.51.672,240259,Oinochoe,Oinochoe,Cypriot,Iron Age,,-1125,-1050,Cyprus,http://www.metmuseum.org/art/collection/search/240259
24.195.14,251580,"Statuette of a woman votary, 4",Lead figure of a woman,"Greek, Laconian",Archaic,mid-7th--early 6th century B.C.,-650,-575,Greece,http://www.metmuseum.org/art/collection/search/251580
91.1.1962,257354,"Fragment, mosaic",Glass mosaic fragment,Roman,Early Imperial,late 1st century B.C.--early 1st century A.D.,-25,25,Italy,http://www.metmuseum.org/art/collection/search/257354
41.162.241,254412,Kylix,Terracotta kylix (drinking cup),"Greek, South Italian, Campanian",Late Classical,ca. 400--350 B.C.,-400,-350,Italy,http://www.metmuseum.org/art/collection/search/254412
20.2,250953,"Portrait head of Marciana, sister of the Emperor Trajan","Marble portrait of Marciana, sister of the emperor Trajan",Roman,Hadrianic,ca. A.D. 130--138,100,199,Italy,http://www.metmuseum.org/art/collection/search/250953
1989.281.89,255967,Neck-amphora of Panathenaic shape,Terracotta neck-amphora of Panathenaic shape,"Greek, Attic",Archaic,ca. 540--530 B.C.,-540,-530,Greece,http://www.metmuseum.org/art/collection/search/255967
20.49.12,250920,"Spoon, cochlear",Silver cochlear (spoon),Roman,Late Republican,mid-1st century B.C.,-75,-25,Italy,http://www.metmuseum.org/art/collection/search/250920
1997.159,256865,Statuette of Jupiter,Bronze statuette of Jupiter,Roman,Mid-Imperial,2nd half of 2nd century A.D.,150,199,Italy,http://www.metmuseum.org/art/collection/search/256865
23.160.21,251365,Foot and left leg,Bronze left leg and foot,Roman,Imperial,1st or 2nd century A.D.,1,199,Italy,http://www.metmuseum.org/art/collection/search/251365
37.11.3,253530,Polyhedron,Faience polyhedron inscribed with letters of the Greek alphabet,Roman,Mid Imperial,2nd--3rd century A.D.,100,299,Italy,http://www.metmuseum.org/art/collection/search/253530
91.1.1703,257053,"Fragment, mosaic dish",Glass mosaic dish fragment,Roman,Early Imperial,late 1st century B.C.--early 1st century A.D.,-25,25,Italy,http://www.metmuseum.org/art/collection/search/257053
43.102.35,323995,Cylinder seal,Cylinder seal and modern impression: presentation scene,Isin-Larsa,Isin-Larsa,ca. 2000--1750 B.C.,-2000,-1750,"Iran, Luristan",http://www.metmuseum.org/art/collection/search/323995
30.115.23,253074,Oktadrachm,Gold oktadrachm of Ptolemy II Philadelphos,"Greek, Ptolemaic",Hellenistic,ca. 261--246 B.C.,-261,-246,Egypt,http://www.metmuseum.org/art/collection/search/253074
74.51.1826,241381,Lamp,Terracotta lamp,"Roman, Cypriot",Early Imperial,mid-1st century A.D.,25,75,Cyprus,http://www.metmuseum.org/art/collection/search/241381
24.195.196,251762,"Jar, miniature",Terracotta miniature jar with two handles,"Greek, Laconian",Archaic,7th--6th century B.C.,-699,-500,Greece,http://www.metmuseum.org/art/collection/search/251762
6.1077,247495,Statuette of a Nike flying,Terracotta statuette of a Nike flying,"Greek, Asia Minor, Myrina",Hellenistic,early 3rd century B.C.,-299,-275,Greece,http://www.metmuseum.org/art/collection/search/247495
1971.258.1,255339,"Statuette of a woman, upper part",Upper part of a marble female figure,Cycladic,Early Cycladic II,2300--2200 B.C.,-2300,-2200,Greece,http://www.metmuseum.org/art/collection/search/255339
"40.11.1b, c",253593,"Statue of Caracalla, fragments",Marble fragments of a statue of the emperor Caracalla,Roman,"Mid-Imperial, Severan",ca. A.D. 217--230,210,235,Italy,http://www.metmuseum.org/art/collection/search/253593
81.10.59,245216,Rhyton,Glass rhyton (drinking horn),Roman,"Early Imperial, Julio-Claudian",mid-1st century A.D.,25,75,Italy,http://www.metmuseum.org/art/collection/search/245216
41.160.496,253724,Ring,Silver ring,Greek,Classical,late 5th century B.C.,-450,-400,Greece,http://www.metmuseum.org/art/collection/search/253724
75.4.6,244833,Strainer,Strainer,Etruscan,Archaic,6th century B.C.,-600,-501,Italy,http://www.metmuseum.org/art/collection/search/244833
17.194.396.76,257833,Mosaic glass fragment,Mosaic glass fragment,Roman,Early Imperial,late 1st century B.C.--early 1st century A.D.,-25,25,Italy,http://www.metmuseum.org/art/collection/search/257833
74.51.1617,241173,Statuette of a woman carrying a jar,Terracotta woman carrying a jar,Cypriot,Cypro-Archaic I,ca. 750--600 B.C.,-750,-600,Cyprus,http://www.metmuseum.org/art/collection/search/241173
67.44.2,255249,"Hydria, kalpis",Terracotta hydria: kalpis (water jar),"Greek, Attic",Archaic,ca. 510 B.C.,-510,-510,Greece,http://www.metmuseum.org/art/collection/search/255249
55.137.28,324467,Axe,Axe head,Hattian,Early Bronze Age III,ca. 2300--2000 B.C.,-2300,-2000,Central Anatolia,http://www.metmuseum.org/art/collection/search/324467
91.1.1784,245592,"Fragment, mosaic vessel",Glass mosaic vessel fragment,Roman,Early Imperial,late 1st century B.C.--early 1st century A.D.,-25,25,Italy,http://www.metmuseum.org/art/collection/search/245592
1985.228.6,255848,Kylix fragments,Kylix fragments,"Greek, Attic",Late Archaic,ca. 500 B.C.,-500,-500,Greece,http://www.metmuseum.org/art/collection/search/255848
86.11.233,321811,Cuneiform tablet,"Cuneiform tablet: account of delivery of halilu-tools, Ebabbar archive",Babylonian,Neo-Babylonian,ca. 604--562 B.C.,-604,-562,Mesopotamia,http://www.metmuseum.org/art/collection/search/321811
74.51.1373,240950,Kylix,Terracotta kylix (drinking cup),East Greek,Archaic,mid-6th century B.C.,-575,-525,Turkey,http://www.metmuseum.org/art/collection/search/240950
15.43.217,248978,"Jar, handled",Glass jar,Roman,Late Imperial,4th century A.D.,4,4,Italy,http://www.metmuseum.org/art/collection/search/248978
23.119.5,251281,Vase fragment,Vase fragment,"Greek, Laconian",Helladic,,-2000,-1550,Greece,http://www.metmuseum.org/art/collection/search/251281
13.225.13,248763,Statuette of an actor,Terracotta statuette of an actor,Greek,Late Classical,late 5th--early 4th century B.C.,-425,-375,Greece,http://www.metmuseum.org/art/collection/search/248763
74.51.1718,241273,Statuette of a woman,Terracotta statuette of a woman,Cypriot,Early Hellenistic,3rd century B.C.,-299,-200,Cyprus,http://www.metmuseum.org/art/collection/search/241273
32.150.404,322818,Sherd,Sherd,Parthian,Parthian,ca. 2nd century B.C.--3rd century A.D.,-2,-2,Mesopotamia,http://www.metmuseum.org/art/collection/search/322818
1995.539.6,256233,Earring with sphinx,Gold earring with a sphinx,Greek,Late Classical or Hellenistic,4th--3rd century B.C.,-399,-200,Greece,http://www.metmuseum.org/art/collection/search/256233
41.162.130,254302,Kylix,Kylix,"Greek, Attic",Late Archaic,ca. 490--480 B.C.,-490,-480,Greece,http://www.metmuseum.org/art/collection/search/254302
15.43.144,248922,Flask,Glass flask,Roman,Late Imperial,4th--5th century A.D.,300,499,Italy,http://www.metmuseum.org/art/collection/search/248922
74.51.2027,241580,Lamp,Terracotta lamp with galdiator,Roman,Early Imperial,late 1st century B.C.--early 1st century A.D.,-30,35,Italy,http://www.metmuseum.org/art/collection/search/241580
57.12.7,254945,"Amphora, Type C",Terracotta amphora (jar),"Greek, Attic",Archaic,ca. 540 B.C.,-540,-540,Greece,http://www.metmuseum.org/art/collection/search/254945
74.51.219,239804,"Flask, indented",Glass flask,Roman,Mid Imperial,2nd--3rd century A.D.,100,299,Italy,http://www.metmuseum.org/art/collection/search/239804
53.5.7,254732,"Pinax, warrior",Fragment of a terracotta plaque,"Greek, Cretan",Archaic,7th century B.C.,-699,-600,Greece,http://www.metmuseum.org/art/collection/search/254732
26.164.12,252577,Skyphos,Bronze skyphos (drinking cup),Lydian,Archaic,7th--6th century B.C.,-699,-500,Turkey,http://www.metmuseum.org/art/collection/search/252577
74.51.1018,240605,Bowl,Bowl,Cypriot,Late Cypriot,1600--1050 B.C.,-1600,-1050,Cyprus,http://www.metmuseum.org/art/collection/search/240605
26.31.359,252308,"Seal, lentoid",Sardonyx Lentoid,Minoan,Late Minoan I,ca. 1600--1425 B.C.,-1600,-1425,Crete,http://www.metmuseum.org/art/collection/search/252308
30.115.49,253099,Perfume bottle,Glass perfume bottle,Roman,Mid Imperial,ca. 2nd--early 3rd century A.D.,100,225,Italy,http://www.metmuseum.org/art/collection/search/253099
1978.93.36,326464,Jug,Jug,Parthian,Parthian,ca. 1st century B.C.--1st century A.D. ,-100,100,Iran,http://www.metmuseum.org/art/collection/search/326464
1983.571.12,255801,Bracelet,Bronze bracelet,Greek,Archaic,7th--6th century B.C.,-699,-500,Greece,http://www.metmuseum.org/art/collection/search/255801
74.51.1735,241290,"Statuette of a votary, female",Terracotta statuette of a reclining youth,Cypriot,Cypro-Classical II,4th century B.C.,-399,-300,Cyprus,http://www.metmuseum.org/art/collection/search/241290
06.1021.178,247341,Stamnos,Terracotta stamnos (jar),"Greek, Attic",Classical,ca. 450 B.C.,-450,-450,Greece,http://www.metmuseum.org/art/collection/search/247341
"96.9.104a, b",246175,Jar with lid,Jar with lid,Etruscan,Archaic,550--500 B.C.,-550,-500,Italy,http://www.metmuseum.org/art/collection/search/246175
16.174.23,249114,Cup,Cup,Etruscan,Archaic,mid 6th century B.C.,-555,-545,Italy,http://www.metmuseum.org/art/collection/search/249114
74.51.395,239981,Juglet,Juglet,Cypriot,Cypro-Archaic I,750--600 B.C.,-750,-600,Cyprus,http://www.metmuseum.org/art/collection/search/239981
74.51.3119,242553,Earring with head of bull,Gold pendant in the form of a bull's head,Cypriot,Late Bronze Age,ca. 1400--1050 B.C.,-1400,-1050,Cyprus,http://www.metmuseum.org/art/collection/search/242553
10.210.166,248453,Relief of a woman and child,Fragment of a terracotta relief of a woman and child,"Greek, South Italian, Tarentine",Classical,mid-4th century B.C.,-375,-325,Italy,http://www.metmuseum.org/art/collection/search/248453
26.31.117,252069,"Seal, stamp",Steatite Stamp Seal,Minoan,Middle Minoan I--II,ca. 1900--1700 B.C.,-1900,-1700,Crete,http://www.metmuseum.org/art/collection/search/252069
2012.477.6,256436,"Kylix, stemless",Terracotta stemless kylix (drinking cup),"Greek, Attic",Classical,5th century B.C.,-499,-400,Greece,http://www.metmuseum.org/art/collection/search/256436
92.11.4,245834,Stucco relief,Stucco relief panel,Roman,Early Imperial,2nd half of 1st century A.D.,50,99,Italy,http://www.metmuseum.org/art/collection/search/245834
62.70.44a--c,325449,Inlay,Inlay,Sumerian,Early Dynastic IIIa,ca. 2600--2500 B.C.,-2600,-2500,Mesopotamia,http://www.metmuseum.org/art/collection/search/325449
1991.11.1,255975,Lekanis lid,Terracotta lid of a lekanis (lidded bowl),"Greek, Boeotian",Archaic,late 6th century B.C.,-530,-500,Greece,http://www.metmuseum.org/art/collection/search/255975
74.51.1000,240587,Amphora,Amphora,Cypriot,Cypro-Archaic I,750--600 B.C.,-750,-600,Cyprus,http://www.metmuseum.org/art/collection/search/240587
74.51.2632,242183,"Male head, beardless, wearing a wreath",Limestone head of male votary with fillet,Cypriot,Late Archaic--Early Classical,late 6th or early 5th century B.C.,-525,-450,Cyprus,http://www.metmuseum.org/art/collection/search/242183
56.171.20,254878,Neck-amphora,Terracotta neck-amphora (jar),"Greek, Attic",Archaic,ca. 520 B.C.,-520,-520,Greece,http://www.metmuseum.org/art/collection/search/254878
26.31.107,252059,Seal,Steatite triangular prism,Minoan,Early Minoan III-Middle Minoan I,ca. 2400--1900 B.C.,-2400,-1900,Crete,http://www.metmuseum.org/art/collection/search/252059
1989.11.12,255915,"Kylix, stemless",Terracotta stemless kylix (drinking cup),"Greek, South Italian, Paestan",Classical,late 4th century B.C.,-330,-300,Italy,http://www.metmuseum.org/art/collection/search/255915
74.51.3745,243162,Earring with ball pendant and disc,Gold earring with disc and pendant,Roman,Mid Imperial,2nd century A.D.,100,199,Italy,http://www.metmuseum.org/art/collection/search/243162
74.51.623,240210,Amphora,Amphora,Cypriot,Hellenic,,-507,-323,Cyprus,http://www.metmuseum.org/art/collection/search/240210
25.78.28,251814,Cippus fragment,Limestone cippus base,"Etruscan, probably Chiusine",late Archaic-Classical,ca. 500--450 B.C.,-500,-450,Italy,http://www.metmuseum.org/art/collection/search/251814
95.15.149,245945,Spiral,Gold spiral,Etruscan,Archaic,7th--6th century B.C.,-699,-500,Italy,http://www.metmuseum.org/art/collection/search/245945
09.221.46e,248188,Dish,Terracotta dish,"Greek, South Italian, Campanian, Teano",Hellenistic,ca. 330--300 B.C.,-330,-300,Italy,http://www.metmuseum.org/art/collection/search/248188
52.127.6,254721,Tetradrachm,Silver tetradrachm,"Greek, Attic",Classical,450--420 B.C.,-450,-420,Greece,http://www.metmuseum.org/art/collection/search/254721
07.232.132,247759,Vase fragment,Vase fragment,Minoan,Early Minoan II,,-2600,-2000,Crete,http://www.metmuseum.org/art/collection/search/247759
74.51.3410,242844,Earring with head of goat,Gold earring with head of a goat,Greek,Classical or Hellenistic,4th--3rd century B.C.,-399,-200,Greece,http://www.metmuseum.org/art/collection/search/242844
26.199.64,252634,Lydion,Terracotta lydion (perfume jar),Lydian,Archaic,6th century B.C.,-599,-500,Turkey,http://www.metmuseum.org/art/collection/search/252634
1978.347.2a--h,255635,"Pelike, fragmentary",Fragmentary terracotta pelike (jar),"Greek, Attic",Late Archaic,ca. 500--490 B.C.,-500,-490,Greece,http://www.metmuseum.org/art/collection/search/255635
43.135.1,324007,Relief,Orthostat relief: seated figure holding a lotus flower,Hittite,Neo-Hittite,ca. 9th century B.C.,-900,-800,Syria,http://www.metmuseum.org/art/collection/search/324007
74.51.1034,240621,Flask,Flask,Cypriot,Middle Cypriot,1900--1600 B.C.,-1900,-1600,Cyprus,http://www.metmuseum.org/art/collection/search/240621
81.10.204,245357,"Beaker, indented",Glass beaker,Roman,Mid Imperial,2nd--3rd century A.D.,100,299,Italy,http://www.metmuseum.org/art/collection/search/245357
1985.357.34,327216,Stamp seal,Stamp cylinder with plaster copy of terminal,Urartian,Iron Age III (?),ca. 8th--7th century B.C.,-800,-600,Urartu,http://www.metmuseum.org/art/collection/search/327216
74.51.3317,242751,"Bead pendants, tubular",Gold pendant,Cypro-Phoenician,Archaic,possibly 7th--6th century B.C.,-699,-500,Cyprus,http://www.metmuseum.org/art/collection/search/242751
17.194.188,249432,Bottle with dolphin handles,Glass bottle with dolphin handles,"Roman, Rhenish",Late Imperial,3rd--early 4th century A.D.,200,325,Germany,http://www.metmuseum.org/art/collection/search/249432
22.139.82,251254,Kylix fragment,Fragment of a terracotta kylix (drinking cup),"Greek, Attic",Classical,ca. 475 B.C.,-475,-475,Greece,http://www.metmuseum.org/art/collection/search/251254
98.11.65,246818,"Roundel, medallion with head of Medusa","Roundel, medallion with head of Medusa",Greek,Classical,5th century B.C.,-499,-400,Greece,http://www.metmuseum.org/art/collection/search/246818
"1994.43.1, .2",256184,"Skyphoi with Erotes, pair",Pair of silver scyphi (cups) with relief decoration,Roman,"Early Imperial, Augustan",late 1st century B.C.--early 1st century A.D.,-50,50,Italy,http://www.metmuseum.org/art/collection/search/256184
36.70.37a2,329709,Game board,Fragmentary gaming board: game of 58 holes,Old Assyrian Trading Colony,Middle Bronze Age--Old Assyrian Trading Colony,ca. 18th century B.C.,-1800,-1700,Anatolia,http://www.metmuseum.org/art/collection/search/329709
66.245.16b,328902,Cuneiform tablet case,"Cuneiform tablet case impressed with four cylinder seals in Anatolian and Old Assyrian style, for cuneiform tablet 66.245.16a: quittance for a loan in silver",Old Assyrian Trading Colony,Middle Bronze Age--Old Assyrian Trading Colony,ca. 20th--19th century B.C.,-2000,-1800,Anatolia,http://www.metmuseum.org/art/collection/search/328902
93.17.84,322224,Stamp seal,Stamp seal,Babylonian,Neo-Babylonian,ca. 6th--5th century B.C.,-600,-400,Mesopotamia,http://www.metmuseum.org/art/collection/search/322224
74.51.340,239925,Spindle whorl,Glass spindle whorl,Roman,Early to Mid Imperial,ca. 1st--2nd century A.D.,1,199,Italy,http://www.metmuseum.org/art/collection/search/239925
81.10.341,245487,Amphoriskos,Glass amphoriskos (perfume bottle),"Greek, Eastern Mediterranean",Classical,late 6th--5th century B.C.,-525,-400,Greece,http://www.metmuseum.org/art/collection/search/245487
06.1021.267,247432,Aryballos,Terracotta aryballos (oil flask),East Greek ?,Archaic,7th century or later,-699,-600,Turkey,http://www.metmuseum.org/art/collection/search/247432
74.51.713,240300,"Jug, barrel-shaped","Jug, barrel-shaped",Cypriot,Cypro-Geometric III,850--750 B.C.,-850,-750,Cyprus,http://www.metmuseum.org/art/collection/search/240300
74.51.1849,241404,Lamp,Terracotta lamp with gladiatorial equipment,"Roman, Cypriot",Early Imperial,ca. A.D. 40--80,40,80,Cyprus,http://www.metmuseum.org/art/collection/search/241404
17.194.2087,250429,Vase Fragment,Vase Fragment,Roman,"Early Imperial, Augustan",ca. 31 B.C.--A.D. 14,-40,20,Italy,http://www.metmuseum.org/art/collection/search/250429
1992.11.1,256065,"Relief pediment, sea monster",Limestone pediment fragment,"Greek, South Italian, Tarentine",Hellenistic,ca. 300 B.C.,-300,-300,Italy,http://www.metmuseum.org/art/collection/search/256065
08.170.89,248037,Denarius of Octavian,Silver denarius of Octavian (Augustus),Roman,Late Republican,ca. 29--27 B.C.,-30,-20,Italy,http://www.metmuseum.org/art/collection/search/248037
41.162.99,254271,Lamp in the form of a camel,Terracotta lamp in the form of a camel,Greek or Roman,Hellenistic or Imperial,3rd century B.C.--3rd century A.D.,-300,300,Greece,http://www.metmuseum.org/art/collection/search/254271
24.195.43,251609,"Statuette of Artemis Orthia, winged, 8","Lead figure of a winged goddess, possibly Artemis Orthia","Greek, Laconian",Archaic,late 7th--6th century B.C.,-625,-500,Greece,http://www.metmuseum.org/art/collection/search/251609
74.51.3467,242902,Earring,Gold earring with head of a goat,Greek,Hellenistic,2nd--1st century B.C.,-199,-1,Greece,http://www.metmuseum.org/art/collection/search/242902
26.60.8,252475,"Inscription, Athenian decree fragment",Fragmentary marble inscription,"Greek, Attic",Late Classical,4th--3rd century B.C.,-399,-200,Greece,http://www.metmuseum.org/art/collection/search/252475
1972.118.134,255445,Portrait head of philosopher ?,Portrait head of philosopher ?,Greek,Late Classical,4th century B.C.,-399,-300,Greece,http://www.metmuseum.org/art/collection/search/255445
14.30.23,248845,Lekythos,Lekythos,"Greek, Attic",Late Archaic,1st quarter of the 5th century B.C.,-500,-475,Greece,http://www.metmuseum.org/art/collection/search/248845
17.190.2074,249230,Horse muzzle,Bronze muzzle for a horse,Greek,Late Classical or Hellenistic,4th--3rd century B.C.,-399,-200,Greece,http://www.metmuseum.org/art/collection/search/249230
62.11.11,255132,Aryballos,Terracotta aryballos (oil flask),"Greek, Attic",Archaic,ca. 550 B.C.,-550,-550,Greece,http://www.metmuseum.org/art/collection/search/255132
6.1168,247581,Statuette of a woman,Terracotta statuette of a draped woman,"Greek, Boeotian",Hellenistic,3rd century B.C.,-299,-200,Greece,http://www.metmuseum.org/art/collection/search/247581
74.51.847,240435,Amphoriskos,Amphoriskos,Cypriot,Cypro-Archaic I,750--600 B.C.,-750,-600,Cyprus,http://www.metmuseum.org/art/collection/search/240435
1986.311.43,327246,Cylinder seal,Cylinder seal,Elamite,Old Elamite,ca. 18th--17th century B.C.,-1800,-1600,Southwestern Iran,http://www.metmuseum.org/art/collection/search/327246
03.23.3,247023,Basin with handles and three feet,Bronze handled basin with three feet,Etruscan,Archaic,ca. 550 B.C.,-550,-550,Italy,http://www.metmuseum.org/art/collection/search/247023
1983.535.117,326856,Stamp seal,Compartmented stamp seal,Bactria-Margiana Archaeological Complex,Bronze Age,ca. late 3rd--early 2nd millennium B.C.,-2300,-1700,Bactria-Margiana,http://www.metmuseum.org/art/collection/search/326856
